Date;Motif exprimé;Organisations syndicales;Taux de grévistes au sein de la population concernée par le préavis
18/10/2022;Salaires, pensions, droit de grève;CGT,SUD Rail;20.4
10/11/2022;Salaires, emploi, retraite;CGT;8.6
07/12/2022;NAO, salaires;CGT,SUD Rail,CFDT;7.3
19/01/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;47.7
31/01/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;36.6
07/02/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;26.1
08/02/2023;Réforme des retraites;CGT,SUD Rail;9.5
16/02/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;14.5
07/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;41.0
08/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;19.0
09/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;11.9
10/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;8.4
11/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;16.0
12/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;14.0
13/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;5.5
14/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;5.7
15/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;15.6
16/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;6.7
17/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;4.7
18/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;9.0
19/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;8.0
20/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;3.8
21/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;3.6
22/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;4.3
23/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;27.0
24/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;6.1
25/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;8.0
26/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;6.3
27/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;2.6
28/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;17.6
29/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;3.6
30/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;2.0
31/03/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;1.8
01/04/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;3.7
02/04/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;3.1
06/04/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;16.6
13/04/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;11.9
20/04/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;8.5
31/05/2023;Salaires;CGT;2.8
06/06/2023;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;8.9
26/09/2023;GIE, Fret et filiales;CGT,SUD,CFDT;8.4
13/10/2023;Fret, filiales et NAO;CGT,SUD,CFDT;9.7
08/11/2023;NAO;CGT;4.4
08/03/2024;Journée internationale des droits des femmes;CGT,SUD,CFDT;2.6
