time,precipitation_sum (mm),temperature_2m_mean (°C),wind_speed_10m_max (km/h),snowfall_sum (cm),rain_sum (mm)
03/04/2023,0,7.6,20.5,0,0
04/04/2023,0,5.6,16.4,0,0
05/04/2023,0,7,8.1,0,0
06/04/2023,1.4,9.8,24.2,0,1.4
07/04/2023,0.4,9.2,14.4,0,0.4
08/04/2023,0,8.4,13,0,0
09/04/2023,0,10.1,11.5,0,0
10/04/2023,5.4,11.7,30.6,0,5.4
11/04/2023,6.9,10.3,24.9,0,6.9
12/04/2023,8.2,10.3,31.4,0,8.2
13/04/2023,5.1,8.1,28.9,0.07,5
14/04/2023,6.3,6.9,25.4,0.56,5.5
15/04/2023,11.5,9.1,25.1,0,11.5
16/04/2023,0,8.8,22.4,0,0
17/04/2023,0.2,8.5,21.4,0,0.2
18/04/2023,2.6,10.7,22.4,0,2.6
19/04/2023,0,12.6,21.6,0,0
20/04/2023,0.2,9,22.9,0,0.2
21/04/2023,0.5,7.6,8.2,0,0.5
22/04/2023,7.1,11.2,21.4,0,7.1
23/04/2023,6.2,11.3,39,0,6.2
24/04/2023,5.2,10.2,22.4,0,5.2
25/04/2023,0.7,8.5,17.3,0,0.7
26/04/2023,1.3,8.4,8.7,0,1.3
27/04/2023,1.3,12.9,13.2,0,1.3
28/04/2023,5.7,16.4,18.4,0,5.7
29/04/2023,0.2,12.4,14.1,0,0.2
30/04/2023,0,12.7,13.4,0,0
01/05/2023,3.7,12.4,19,0,3.7
02/05/2023,0.4,12.7,14.7,0,0.4
03/05/2023,0,13.3,18.1,0,0
04/05/2023,1.2,16.6,19.8,0,1.2
05/05/2023,4.2,14.9,19.9,0,4.2
06/05/2023,8.1,15.7,12.6,0,8.1
07/05/2023,14.4,15.3,16.6,0,14.4
08/05/2023,0,14.7,11.5,0,0
09/05/2023,17,14,22.6,0,17
10/05/2023,6.4,12.3,21.7,0,6.4
11/05/2023,6.1,12.2,13.8,0,6.1
12/05/2023,1,11.9,19.6,0,1
13/05/2023,12.2,14.7,21.3,0,12.2
14/05/2023,0,13.6,14.4,0,0
15/05/2023,4.8,11.5,19.9,0,4.8
16/05/2023,0,10.7,24.1,0,0
17/05/2023,0.1,11.6,22.9,0,0.1
18/05/2023,0,12,19.2,0,0
19/05/2023,0,13.6,19.4,0,0
20/05/2023,0.2,15.9,20.7,0,0.2
21/05/2023,0,16.8,20.4,0,0
22/05/2023,0,16.3,19.1,0,0
23/05/2023,0.1,14.7,22.6,0,0.1
24/05/2023,0,13.3,23.1,0,0
25/05/2023,0,15.3,23.9,0,0
26/05/2023,0,15.9,20.5,0,0
27/05/2023,0,17.6,16.3,0,0
28/05/2023,0,19.1,21.7,0,0
29/05/2023,0,18.1,26.6,0,0
30/05/2023,0,16.7,24.5,0,0
31/05/2023,0,19.1,23,0,0
01/06/2023,0,20.1,21.6,0,0
02/06/2023,0,15.3,21.9,0,0
03/06/2023,0,17.9,19.4,0,0
04/06/2023,0,19.7,20.2,0,0
05/06/2023,0,19.8,20.1,0,0
06/06/2023,0,19.4,16.2,0,0
07/06/2023,0.2,21.1,18.7,0,0.2
08/06/2023,0,21.4,17.5,0,0
09/06/2023,0,23.4,19.3,0,0
10/06/2023,0.5,23,14.3,0,0.5
11/06/2023,25.5,21.2,15.4,0,25.5
12/06/2023,1,21.2,16.8,0,1
13/06/2023,0,22.5,19.6,0,0
14/06/2023,0,22.2,13.4,0,0
15/06/2023,0,21.9,11.2,0,0
16/06/2023,0,22.5,11.8,0,0
17/06/2023,0.6,23.7,14.5,0,0.6
18/06/2023,2.8,23.3,21.8,0,2.8
19/06/2023,1,20.4,9.4,0,1
20/06/2023,1.7,21.5,22.2,0,1.7
21/06/2023,3.9,21.7,13.6,0,3.9
22/06/2023,19.3,19.7,21.9,0,19.3
