,p0q0
0,-0.74868613
1,0.2112393
2,0.2801488
3,-0.06593498
4,-0.5157855
5,-0.47319883
6,-0.4064565
7,-0.0070495377
8,-0.49788538
9,-0.63666594
10,-0.4736248
11,0.056887742
12,-0.75541025
13,-0.71164757
14,-1.4570892
15,0.07216073
16,-0.44141972
17,-0.6688728
18,-0.67986053
19,0.067979395
20,-0.4936041
21,-0.6464778
22,-0.48821515
23,-0.014832912
24,-0.44230968
25,-0.728106
26,-1.1706067
27,0.015265453
28,-0.8099898
29,-0.86976314
30,-0.37424013
31,0.14568646
32,-0.48534125
33,-0.47331277
34,-0.29063714
35,0.06799229
36,-0.57149076
37,-0.6347869
38,-0.7320717
39,0.4662841
40,-0.7657487
41,-0.40696478
42,-0.54603887
43,0.35659754
44,0.029772662
45,-0.16117649
46,0.056289688
47,-0.4193027
48,0.17823221
49,-0.2757849
50,0.12958296
51,-0.07781598
52,-0.03166105
53,-0.18116905
54,-0.5297432
55,-0.30656567
56,-0.16977142
57,0.3245656
58,-0.34863845
59,-0.40892145
60,0.12883756
61,-0.53474057
62,-0.24886051
63,0.3981198
64,-0.47859913
65,-0.40848324
66,0.21507639
67,1.470725
68,-0.6553782
69,-0.20809649
70,0.38551834
71,-0.62932205
72,-0.24643376
73,0.32753184
74,0.82131994
75,-0.61862504
76,-0.33387
77,0.74344236
78,0.77555376
79,-0.47859913
80,-0.029337116
81,0.4392199
82,0.8848247
83,-0.9866587
84,-0.056783114
85,0.19691458
86,0.6776684
87,-0.6687476
88,-0.15678312
89,0.8808498
90,0.80825853
91,-0.43548188
92,-0.29383284
93,0.21955055
94,0.8194688
95,-0.6316155
96,-0.23960952
97,0.35714236
98,1.1933651
99,-0.54442346
100,-0.06215267
101,0.56635934
102,1.3196827
103,0.44201824
104,0.3009416
105,0.52997077
106,-0.12760715
107,0.47961628
108,-0.6182874
109,-0.6237759
110,-0.6372323
111,0.0028064526
112,-0.75293005
113,-0.65340465
114,-0.5569685
115,0.0602405
116,-0.7441246
117,-0.5846359
118,-0.34817386
119,0.054518744
120,-0.80872977
121,-0.6594805
122,-1.9075156
123,0.031884592
124,-0.20300463
125,0.95030636
126,-1.5374737
127,0.26939937
128,0.09468696
129,0.35857454
130,-0.061116748
131,0.29474685
132,-0.08960225
133,0.3360147
134,0.5211093
135,-0.11510438
136,0.49408805
137,-0.14571328
138,0.42475525
139,0.05023074
140,0.5047307
141,-0.24702308
142,0.20556507
143,-0.13787381
144,0.08526666
145,0.13881266
146,0.11904107
147,-0.1614874
148,0.33554178
149,-0.00019367324
150,-0.058828976
151,0.06457324
152,0.11419684
153,-0.15723673
154,0.045188315
155,0.21252632
156,-0.2818673
157,-0.12917894
158,0.1844102
159,-0.3230258
160,0.4327044
161,-0.01556215
162,-0.16503593
163,0.26047912
164,-0.09965391
165,-0.40355432
166,0.1668952
167,-0.04151338
168,-0.52326155
